ERO	204940	-6.250053640128842
ERE	203990	-6.254699897741483
OSD	202560	-6.261734697212957
LAC	202237	-6.263330551296342
NTR	202034	-6.264334823246541
ESA	199391	-6.277503036603618
NEL	197770	-6.285665977265658
ANO	196413	-6.29255109648986
ELO	195653	-6.296427979846389
REC	194886	-6.300355869548758
NAL	193484	-6.30757578288022
ELE	193053	-6.30980583044912
MAS	191078	-6.320088817867452
ORE	189748	-6.327073626795803
ANA	189012	-6.3309599772024505
IST	186371	-6.345031096589555
ECO	185842	-6.3478735417149315
TEN	185612	-6.349111911962784
ENL	184608	-6.354535698022279
STE	183638	-6.359803899035958
SCO	181925	-6.369175761976739
TAD	181002	-6.374262167251325
RAS	180591	-6.376535429752159
END	179391	-6.383202417423106
TOS	178262	-6.3895157850540825
IDO	176588	-6.3989507743912455
ARI	176022	-6.40216110464722
TAR	174455	-6.411103212114985
ASA	172755	-6.420895578648732
TER	171787	-6.42651461451604
RIA	171516	-6.428093385907597
OEN	171076	-6.430662025416306
DEC	170048	-6.436689142152861
TES	169187	-6.441765250294205
ALI	168887	-6.443539999633072
DEN	168862	-6.4436880376850425
RAD	168808	-6.4440078746893565
RAL	164016	-6.47280569197682
EMA	163192	-6.47784222351218
LAR	162573	-6.481642490236359
STR	162515	-6.481999314504194
AQU	160749	-6.4929254098477
SQU	160413	-6.495017799546338
OSA	160134	-6.496758563488534
TOD	159938	-6.497983280425861
ASD	157641	-6.512449133583862
RIO	156017	-6.5228043877568
EES	155477	-6.526271530454931
ELP	155461	-6.526374444200439
ICO	154166	-6.534739342521235
OCO	153993	-6.535862132349762
ESI	152856	-6.543272929144667
REN	152756	-6.543927349449816
OLA	152299	-6.546923513064313
AEN	151378	-6.552989146998683
ORA	150285	-6.56023562758421
DEM	149855	-6.563100939964298
TAN	149706	-6.564095722446029
ENA	149370	-6.566342628880875
RON	148717	-6.570723877733038
IER	147854	-6.5765437091799175
TRO	147380	-6.57975470246843
INA	146965	-6.5825745054559395
ASI	146923	-6.582860326683513
OSP	145996	-6.58918969941341
ESU	145550	-6.592249232306159
UEL	145269	-6.594181693080637
ART	144655	-6.598417262970418
ONT	143028	-6.6097283660632975
LDE	142013	-6.6168501286747
DEE	141737	-6.618795490025752
NAD	140341	-6.628693472138372
EDI	140066	-6.630654893406337
ERI	139305	-6.636102820601879
TOR	138435	-6.642367647999123
ECI	137849	-6.646609635495624
OMO	137436	-6.649610142674348
MOS	137432	-6.6496392473420105
DER	137159	-6.651627645370709
RAC	135574	-6.663250780238305
STI	135049	-6.667130692726804
ENO	134982	-6.667626928382261
AMA	134786	-6.669080018306918
UEN	134398	-6.671962785380251
REL	134007	-6.674876273304044
MAN	133710	-6.677095018494636
SPA	133046	-6.682073323710257
UEE	132750	-6.684300579915068
SIN	132261	-6.6879909691033195
SES	132002	-6.689951123364592
ENS	131590	-6.6930771454706015
ESC	131337	-6.695001619971963
ACA	130815	-6.6989840172643
DEA	130248	-6.703327769904612
NUN	129158	-6.711731569440415
ABA	126371	-6.733545834778969
ONS	126309	-6.734036570179545
NCO	125800	-6.738074479605087
AME	125775	-6.738273225914028
EEN	125476	-6.740653298121298
LAP	125019	-6.744302048461763
IAL	124764	-6.746343805081146
ROS	124254	-6.750439867349664
ALO	123870	-6.75353507145217
ELC	123843	-6.7537530639040355
EEL	123511	-6.756437455625804
APA	123267	-6.758414926081361
